mCode,mTitle,mUPC,mDesc,mBrand,mCurr,mLowest,mHighest,mImages,CurrUPC,ProductName,BrandName,ProductDesc,ProductScore,Subcatecory,Category
OK,Pringles BBQ Chips 5.57 oz. Can (Case of 14),038000183713,Pringles BBQ Chips 5.57 oz. Can SOLD ASCase of 14 PRODUCT DETAILS Flavor: BBQ Package Size: 5.57 oz.,Kellogg Snacks Keebler,,1.25,56.11,"['http://d2ul0w83gls0j4.cloudfront.net/products/12/600/1227957.jpg', 'http://images.jet.com/md5/d734632d76fd1b35524c1bf3285a6dff.500', 'https://tshop.r10s.com/56f/8e2/1a1e/b782/d089/badf/ce82/1156e8aab8c4544489145b.jpg?_ex=512x512']",038000183713,Potato Chips,Pringles,"Potato Chips, Barbecue",10,"Chips, Puffs, & Snack Mix",Snacks
OK,NA,NA,NA,NA,NA,NA,NA,NA,041735045133,Pasta,Price Chopper,Radiatore Pasta,80,Bread Products,Grains
OK,NA,NA,NA,NA,NA,NA,NA,NA,041268148288,Hannaford Rolled Pie Crust 15 oz,Hannaford Supermarkets,Hannaford Rolled Pie Crust 15 oz,35,Pastries,Desserts
OK,"Hemp Protein + Fiber Drink Mix, Vanilla Flavor (15oz)",605806132001,,360 Nutrition,NA,21.12,21.95,[],605806132001,Hass Avocados,Green Giant,,100,Fresh,Produce
OK,NA,NA,NA,NA,NA,NA,NA,NA,041268113835,Hannaford White Distilled Vinegar 128 Oz,Hannaford Supermarkets,Hannaford White Distilled Vinegar 128 Oz,80,Vinegar & Cooking Wine,Oil vinegar dressing
OK,NA,NA,NA,NA,NA,NA,NA,NA,742365005961,Snack Pack,Horizon,Cheddar Cheese And Pretzels,13,Appetizers & Sides,Prepared meals
OK,"Arnold Honey Wheat Sandwich Thins, 6 count, 12 Oz",073410955789,"All the things you love, less of what you don't! We've listened to you and made Arnold Sandwich Thins even better! Crafted with pride and baked with premium ingredients like olive oil and sea salt, each bite of Arnold Multigrain Sandwich Thins is now more satisfying and delicious than ever. Perfectly-sized, and now 75 calories per slice, you can enjoy the great taste of bread with none of the heaviness that can weigh you down. We love it and know you will to! Enjoy this mixture of whole wheat, oats, millet...",Arnold,,3.29,4.69,['https://jetimages.jetcdn.net/md5/2e03a4a2ee91df552a2ec5de75c52156.500'],073410955789,Bread,Arnold,Honey Wheat Thin Sandwich Bread,65,Bread Products,Grains
INVALID_UPC,NA,NA,NA,NA,NA,NA,NA,NA,084945500008,Wraps,Tumaros,9 Grain With Chia Wraps,75,Pasta & Noodles,Grains
OK,NA,NA,NA,NA,NA,NA,NA,NA,011110968753,Turkey,Kroger,"Ground Turkey, 85% Lean",70,Chicken & Poultry,Meats
OK,NA,NA,NA,NA,NA,NA,NA,NA,041735045072,Pasta,Price Chopper,Angel Hair Pasta,20,Pancakes & Waffles,Grains
OK,Donettes Frosted Devil's Food Mini Donuts - 11.25oz - Hostess,888109150037,"If you're looking for a sweet treat to get you through a hectic morning, grab a bag of Hostess Double Chocolate Donettes. This bag of mini donuts includes chocolate cake donuts covered in chocolate frosting - they're the perfect snack to pack in a chocolate lover's lunch, or bring them to a meeting as a fun, sweet surprise. Whether you're grabbing them on the go or sitting down to enjoy them during a relaxing breakfast at home, these double chocolate mini donuts are the perfect way to satisfy your sweet to...",Hostess,,0,2.09,"['http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/6/1220766.jpg', 'https://target.scene7.com/is/image/Target/GUEST_6b19a612-9de0-4434-a7c0-669c5c60ab68?wid=1000&hei=1000', 'https://i5.walmartimages.com/asr/41768221-d506-46f8-92d2-90882bf25b2c_1.334eaca98010074c1c3827c9afeca709.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff']",888109150037,Donuts,Hostess,Donettes Frosted Devil's Food Mini Donuts,0,Pastries,Desserts
OK,"Swanson Beef Cooking Stock, 32 oz",051000214454,"Crafted from full-flavored, farm-raised beef100% natural, fat free, gluten freeGreat with savory meats and sauces. For recipe ideas, SwansonStock. comNo MSG added, no preservatives or artificial flavors*Except for a small amount of glutamate that naturally occurs in yeast extractPackaged in a resealable, twist-cap cartonIf you want a full-bodied cooking base crafted with savory farm-raised beef, hit the kitchen with Swanson &reg; Beef Cooking Stock? the perfect foundation for flavor creation. Our stock an",Campbell Soup Company,,2.18,29.99,"['https://target.scene7.com/is/image/Target/GUEST_08d540aa-c0cf-41ab-9c5c-c14c1e5aa93a?wid=1000&hei=1000', 'https://i5.walmartimages.com/asr/4a609fa2-e374-4cbe-b942-bc55b7897851_1.ea38629e741dff33b5a7253fad07c0ed.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff']",051000214454,Cooking Stock,Swanson,Beef Cooking Stock,23,Soups & Broths,Prepared meals
INVALID_UPC,NA,NA,NA,NA,NA,NA,NA,NA,003400003078,Chocolate,York,"Chocolate, Dark, Covered Peppermint Patties",6,"Cookies, Candy, & Chocolate",Desserts
